part_number,description,cost
VP229E-20BQHNT,SMARTX PIBCV DN20 - HIGH FLOW,204.43
VP228E-20BQSNT,SMARTX PIBCV DN20 - STD FLOW,138.5
MP300-SRD,SR CLOSE ACTUATOR-MULTI SIGNAL,266.55
TC903-3A2P-24,"TStat,FCU-P,LCD,2P,24V,Wt",114.48
8770003000,Actuator Damper LF24-SR,275.22
9814000388,Venturi Pipe - 0.6 m,52.97
6553065000,VR-1.5M,81.78
6553066000,VR-2.8M,132.77
MP130-24MP-0,0(2)-10V Mod. act. + feedback,178.98
MP130-24MP,0(2)-10V MOD. ACT. + FEEDBACK,205.84
MP130-24MP-10M,0(2)-10V MOD. ACT. + FEEDBACK,207.04
MP130-24MP-10M-0,0(2)-10V Mod. act. + feedback,207.04
MP130-24M-10M,0(2)-10V MODULATING ACT. 10M,181.53
MP130-24M-10M-0,"0(2)-10V Modulating act., 10m",181.53
MP130-24M-0,0(2)-10V Modulating actuator,153.4
MP130-24M,0(2)-10V MODULATING ACTUATOR,164.23
9114500500-0,0.5m Digital daisy chain cable,36.99
SXWRE0104PD10001,0-10V Dimming module with power distribu,696.74
SXWRE010410001,0-10V Dimming module without power distr,542.31
MP125NC24DCM,0-10V Thermal Act DC,128.67
MP125NO24M,0-10V Thermal Act NO,128.67
MP125NC24M,"0-10V Thermal Actuator, 24 Vac, NC",128.67
9114401500-0,1.5m Digital cable,31.78
9114501500-0,1.5m Digital daisy chain cable,36.99
9114801500-0,1.5m immersion temp. sensor,121.42
9114601500-0,1.5m Remote IO cable,53.94
9114701500-0,1.5m strap on temp. sensor,126.65
SXWHHREL10001,"10 Channel Relay Module, 10xDO + 12xDI (",402.26
9114410000-0,10m Digital cable,84.36
9114510000-0,10m Digital daisy chain cable,84.36
MPCAB10M,"10M Valve Actuator Cable, 5 pcs",262.58
MF1450-230F,230V 1450NM DN400-450 FLOAT.,11082.21
MF200-230F,230V 200NM DN200..250 FLOAT.,3154.25
MF2050-230F,230V 2050NM DN500 FLOAT.,13363.98
MF68-230F,230V 68NM DN050..150 FLOAT.,2593.46
MF700-230F,230V 700NM DN250..500 FLOAT.,4703.96
MF200-24F,24V 200NM DN200..250 FLOAT.,4275.66
MF200-24M,24V 200NM DN200..250 MOD.,6020.08
MF550-24F,24V 550NM DN250..450 FLOAT.,6486.99
MF550-24M,24V 550NM DN250..450 MOD.,8463.97
MF68-24F,24V 68NM DN050..150 FLOAT.,2741.42
MF68-24M,24V 68NM DN050..150 MOD.,4485.99
VS-7223-804-4-09,2-WAY VLV ASSEMBLY W/ SR LINEA,778.65
9112112010,2xDN10 Conn. G1/2 - R3/8 Male,9.89
9112112010-0,2xDN10 Conn. G1/2 - R3/8 Male,10.97
9112113010,2XDN10 CONN. G1/2- 15MM SOLDER,14.17
9112113010-0,2xDN10 Conn. G1/2- 15mm Solder,21.14
9112111010,2xDN10 Conn. G1/2-G1/2Female,12.79
9112111010-0,2xDN10 Coupler G1/2-G1/2Female,15.26
9112112015,2xDN15 Conn. G3/4 - R1/2 Male,11.1
9112112015-0,2xDN15 Conn. G3/4 - R1/2 Male,12.13
9112113015,2XDN15 CONN. G3/4- 15MM SOLDER,13.95
9112113015-0,2xDN15 Conn. G3/4- 15mm Solder,20.76
9112113115,2XDN15 CONN. G3/4- 22MM SOLDER,21.39
9112113115-0,2xDN15 Conn. G3/4- 22mm Solder,25.48
9112111015,2xDN15 Conn. G3/4-G1/2Female,26.84
9112111015-0,2xDN15 Coupler G3/4-G1/2Female,16.05
9112113020,2xDN20 Conn. G1 - 15mm Solder,18.91
9112113020-0,2xDN20 Conn. G1 - 15mm Solder,28.3
9112113120,2XDN20 CONN. G1 - 22MM SOLDER,20.48
9112113120-0,2xDN20 Conn. G1 - 22mm Solder,30.5
9112115020,2XDN20 CONN. G1 - 26.9MM WELD,15.3
9112115020-0,2xDN20 Conn. G1 - 26.9mm Weld,18.28
9112111020,2xDN20 Conn. G1 - G1/2 Female,19.53
9112111020-0,2xDN20 Conn. G1 - G1/2 Female,25.98
9112112020,2xDN20 Conn. G1 - R3/4 Male,15.07
9112112020-0,2xDN20 Conn. G1 - R3/4 Male,15.15
9112112025,2xDN25 Conn. G1.1/4 - R1 Male,25.44
9112112025-0,2xDN25 Conn. G1.1/4 - R1 Male,27.96
9112115025,2XDN25 CONN. G1.1/4- 33.7 WELD,23
9112115025-0,2xDN25 Conn. G1.1/4- 33.7 Weld,28.46
9112113025,2XDN25 CONN.G1.1/4-28MM SOLDER,33.35
9112113025-0,2xDN25 Conn.G1.1/4-28mm Solder,49.95
9112111025,2xDN25 Conn.G1.1/4-G3/4 Female,29.3
9112111025-0,2xDN25 Conn.G1.1/4-G3/4 Female,33.66
9112115032,2XDN32 CONN. G1.1/2- 42.4 WELD,29.05
9112115032-0,2xDN32 Conn. G1.1/2- 42.4 Weld,34.94
9112111032,2xDN32 Conn. G1.1/2- G1 Female,38.14
9112111032-0,2xDN32 Conn. G1.1/2- G1 Female,45.75
9112113032,2XDN32 CONN.G1.1/2-35MM SOLDER,55.47
9112113032-0,2xDN32 Conn.G1.1/2-35mm Solder,61.4
9112112032,2XDN32 CONN.G1.1/2-R1.1/4 MALE,34.45
9112112032-0,2xDN32 Conn.G1.1/2-R1.1/4 Male,37.86
9112113040,2XDN40 CONN. G2 - 42MM SOLDER,291.82
9112113040-0,2xDN40 Conn. G2 - 42mm Solder,291.82
9112115040,2XDN40 CONN. G2 - 48.3 WELD,65.15
9112115040-0,2xDN40 Conn. G2 - 48.3 Weld,78.14
9112112040,2XDN40 CONN. G2 - R1.1/2 MALE,75.7
9112112040-0,2xDN40 Conn. G2 - R1.1/2 Male,83.22
9112111040,2xDN40 Conn. G2- G1.1/4 Female,62.79
9112111040-0,2xDN40 Conn. G2- G1.1/4 Female,75.33
9112113050,2XDN50 CONN. G2.1/2- 54MM SOLD,337.45
9112113050-0,2xDN50 Conn. G2.1/2- 54mm Sold,337.45
9112115050,2XDN50 CONN. G2.1/2- 60.3 WELD,188.24
9112115050-0,2xDN50 Conn. G2.1/2- 60.3 Weld,225.87
9112111050,2xDN50 Conn. G2.1/2- G1.1/2 F.,100.51
9112111050-0,2xDN50 Conn. G2.1/2- G1.1/2 F.,120.58
9112112050,2XDN50 CONN. G2.1/2 TO R2 MALE,115.9
9112112050-0,2xDN50 Conn. G2.1/2 to R2 Male,127.51
RS-03,3M length NTC10k sensor 10/set,81.78
7210714000,4.3ve 2Way Zone VZ22/15/0.63,44.4
9114505000-0,5m Digital daisy chain cable,58.01
VB601R-15B-0,6 way DN15 Change over valve,446.93
VB601R-20B-0,6 way DN20 Change over valve,574.8
MB10-24T-ENGY-0,6w valve act. +MP90 energy,413.88
MB10-24T-FLEX-0,6w valve act. +MP90 flex cable,393.95
MB10-24T-PLUG-0,6w valve act. +MP90 plug conn.,380.26
HMIST6400SL,"7.0"" BACnet Operator Display",880.44
KAD24V,"Acc,230 VAC Power for Deluxe Disp",122.04
KAE230V,"Acc,230 VAC Power for Eco Disp",81.4
KAD230V,"Acc,24 VAC Power for Deluxe Disp",122.04
KAE24V,"Acc,24 VAC Power for Eco Disp",81.4
KA602KIT,"Acc,602 replacement kit for MC/MK",314.32
KA420A,"Acc,Anlg Out Module,Dual 4-20 mA",438.87
KABACN,"Acc,BACnet MS/TP Out Module",319.75
KABATD,"Acc,D-Cell Battery With Cable & Con",81.4
KAOPTC,"Acc,IR Optical to USB Data Cable",870.12
KADLON,"Acc,LON Out Module for Deluxe Dis",438.87
KAMBUS,"Acc,M-Bus Out Module",138.27
KAMODR,"Acc,Modbus RTU Out Module",319.75
KAMODT,"Acc,Modbus TCP Out for Deluxe Disp",438.87
KADCCAL,"Acc,Replacement calculator,KDC",655.55
KADFCAL,"Acc,Replacement calculator,KDF",655.55
KADHCAL,"Acc,Replacement calculator,KDH",655.55
KADKCAL,"Acc,Replacement calculator,KDK",655.55
KADBOX,"Acc,Sig Cable box for Deluxe Disp",143.7
KADCB10,"Acc,Sig Cable,10 m for Deluxe Disp",81.4
KADCB05,"Acc,Sig Cable,5 m for Deluxe Disp",43.41
KAPO65,"Acc,Temp Sens Pkt Wel,65mm,Pair",56.97
KAPO90,"Acc,Temp Sens Pkt Wel,90mm,Pair",56.97
KASENA,"Acc,Temp Sensor Set,1.5 m Cable",122.04
KASEND,"Acc,Temp Sensor Set,10 m Cable",276.34
KASENB,"Acc,Temp Sensor Set,3m Cable",138.27
KASENC,"Acc,Temp Sensor Set,5 m Cable",241.15
KADBRK,"Acc,Wall Mount Bracket for Deluxe Disp",10.97
KAEBRK,"Acc,Wall Mount Bracket for Eco Disp",5.5
AG13U000,ACT 2POS SR NC 230V GCO 6INLD,48.59
AG13U23A,ACT 2POS SR NC 230V GCO CORD,72.5
AG13U230,ACT 2POS SR NC 230V GCO CORD,98.36
AH13U000,ACT 2POS SR NC 230V HCO 6INLD,59.5
AH13U230,ACT 2POS SR NC 230V HCO CORD,121.67
AG13A230,ACT 2POS SR NC 24V GCO CORD,68.54
AG23U230,ACT 2POS SR NO 230V GCO CORD,98.36
AT33A000,ACT MOD FLTG NSR TERM,106.33
SXWSWLNSX00001,Activation Key for OpenLNS Server (no,1114.3
MB10-24T-0,"Actuator - 6w valve, 2 Pos.",197.18
MB10-24T-10M-0,"Actuator - 6w valve, 2 Pos.10M",245.9
8750003000,Actuator Damper LF230,274.62
8740003000,Actuator Damper LF24,195.39
8751019000,Actuator Damper MD10A-24,354.03
8751011000,Actuator Damper MD10B-230,159.14
8751015000,Actuator Damper MD10B-24,138.61
8751029000,Actuator Damper MD20A-24,254.06
8751021000,Actuator Damper MD20B-230,209.74
8751025000,Actuator Damper MD20B-24,172.67
8751039000,Actuator Damper MD40A-24,355.6
8751035000,Actuator Damper MD40B-24,305.73
8751009000,Actuator Damper MD5A-24,184.03
8751001000,Actuator Damper MD5B-230,111.68
8751003000,Actuator Damper MD5B-230-S,127.51
8751005000,Actuator Damper MD5B-24,115.15
8751007000,Actuator Damper MD5B-24-S,142.98
8800450000,Actuator valve M1500,441.62
8800451000,Actuator valve M1500-S2,561.11
8900104000,Actuator valve M22A-24V,1709.43
8900110000,Actuator valve M22B-230V,1045.37
8900112000,Actuator valve M22B-230V-S2,1143.33
8900106000,Actuator valve M22B-24V,1231.03
8800210030,Actuator valve M310,476.68
8800211030,Actuator valve M310 S2,533.84
8800230030,Actuator valve M400,296.49
8800231030,Actuator valve M400 S2,380.45
8900210000,Actuator valve M50B-230V,1738.94
8900206000,Actuator valve M50B-24V,2217.64
8800431000,Actuator valve M700-S2-SRSU,788.88
8800430000,Actuator valve M700-SRSU,833.98
8800310030,Actuator valve M800,477.66
8800311030,Actuator valve M800 S2,535.69
MG900-SD,Actuator valve MG900 SRD-24FM T54 00,625.52
MG900-SU,Actuator valve MG900 SRU-24FM T54 00,468.72
8455111000,Actuator Zone MZ 09B 2 5mm,102.74
8455112000,Actuator Zone MZ 09L(LON)2 5mm,322.73
8455101000,ACTUATOR ZONE MZ 18B 6.5MM (84,105.93
8455102000,Actuator Zone MZ 18L(LON)6 5mm,350.28
8455051000,Actuator Zone MZ20A 5 5mm,217.46
8455052000,Actuator Zone MZ20A-R 5 5mm,198.63
8455003000,ACTUATOR ZONE MZ20B-230 5 5MM,144.45
8455001000,ACTUATOR ZONE MZ20B-24 5.5MM,95.87
8601110000,ACUATOR VALVE EM9/180 (8601110,500.56
8601100000,ACUATOR VALVE EM9/90 (86011000,500.56
8601020000,ACUATOR VALVE M9B/230 (8601020,281.43
8601010000,ACUATOR VALVE M9B/24 (86010100,281.43
SXWADBUND10003,AD v3 Device,2120.09
SXWADWIFI10001,AD v3 Wi-Fi Module,122.14
8800135000,Adap.OAB/TA+Steem adapt UNF3/8,165.11
MP125ADZ80,"Adaptor VZ22,VZ32,VZ42, 20 pcs",61.42
SXWSWESEC00003,Add 3 ES to EC - 2,15104.91
SXWSWESEC00005,Add ES to EC - 5,29001.28
AV-821,ADPT KIT FORTA VB-7XXX,70.2
8800112000,ADVC2-UL-FT-FV-230-STD-ENG,1364.36
8800113000,ADVC2-UL-INT-FT-FV-230-STD-ENG,1364.36
8800129000,AG52 linkage - VSB VMB VSB_F,53.65
VFXP10,Air Velocity Averaging Pitot Tube 10 in,226.21
VFXP12,Air Velocity Averaging Pitot Tube 12 in,248.38
VFXP14,Air Velocity Averaging Pitot Tube 14 in,277.76
VFXP06,Air Velocity Averaging Pitot Tube 6 in,188.89
VFXP08,Air Velocity Averaging Pitot Tube 8 in,198.25
FLO-02A12LM,"Aluminum flow meter, digital, pulse, 1-i",681.45
FLO-02A31GM,"Aluminum flow meter, digital, pulse, 1-i",681.45
SXWAO8XXX10001,AO-8 8 ANALOG OUT V/mA,365.63
SXWAO8HXX10001,AO-8-H 8 ANALOG OUT V/mA HAND,529.65
SXWAOV8XX10001,AO-V-8 8 ANALOG OUT VOLTAGE,301.96
SXWAOV8HX10001,AO-V-8-H 8 ANALOG OUT V HAND,480.07
SXWSWASUP00001,AS Upgarde,394.86
SXWSWXBBU050FU,ASB Bundle - Full,2047.71
SXWSWXBBU010SD,ASB Bundle - Standard,443.69
SXWSWXBBUPSDFU,ASB Bundle upgrade - Standard to Full,1682.06
SXWSWASBUP34FU,ASB Upgrade - Full,564.25
SXWSWASBUP34SD,ASB Upgrade - Standard,112.94
SXWSWASBUP40FU,ASB Upgrade from 4.x - Server - Full,781.32
SXWSWASBUP40SD,ASB Upgrade from 4.x - Server - Standard,279.06
SXWSWASBUP30FU,ASB Upgrade SpaceLogic Server - Full,656.98
SXWSWASBUP30SD,ASB Upgrade SpaceLogic Server - Standard,172.27
6553063000,aSENSE m III CO&CO2 Combi,1689.97
6553064000,aSENSE m III-K CO&CO2 Combi,1689.97
SXWSWXBU0000EN,ASP Bundle - Enhanced,2275.21
SXWSWXBU0000FU,ASP Bundle - Full,4550.38
SXWSWXBU0000SA,ASP Bundle - Standalone,390.09
SXWSWXBU0000SD,ASP Bundle - Standard,1300.15
SXWSWXUP00ENFU,ASP Bundle upgrade - Enhanced to Full,2102.55
SXWSWXUP00SAEN,ASP Bundle upgrade - Standalone to Enhcd,1962.37
SXWSWXUP00SAFU,ASP Bundle upgrade - Standalone to Full,4205.04
SXWSWXUP00SASD,ASP Bundle upgrade - Standalone to Stand,911.14
SXWSWXUP00SDEN,ASP Bundle upgrade - Standard to Enhancd,1051.3
SXWSWXUP00SDFU,ASP Bundle upgrade - Standard to Full,3153.82
SXWSWASPUP40EN,ASP Upgrade from 4.x - Server - Enhanced,840.38
SXWSWASPUP40FU,ASP Upgrade from 4.x - Server - Full,1476.6
SXWSWASPUP40SD,ASP Upgrade from 4.x - Server - Standard,503.76
SXWSWASPUP40SA,ASP Upgrade from 4.x -Server-Standalone,235.4
SXWSWASPUP30EN,ASP Upgrade Non-Secure Boot - Enhanced,592.78
SXWSWASPUP34EN,ASP Upgrade Non-Secure Boot - Enhanced,442.31
SXWSWASPUP30FU,ASP Upgrade Non-Secure Boot - Full,931.97
SXWSWASPUP34FU,ASP Upgrade Non-Secure Boot - Full,753.46
SXWSWASPUP30SA,ASP Upgrade Non-Secure Boot - Standalone,117.7
SXWSWASPUP34SA,ASP Upgrade Non-Secure Boot - Standalone,84.92
SXWSWASPUP30SD,ASP Upgrade Non-Secure Boot - Standard,391.62
SXWSWASPUP34SD,ASP Upgrade Non-Secure Boot - Standard,254.18
SXWSWASPUP30BP,ASP Upgrade Non-Secure Boot Full Bulk Pk,9401.02
SXWKITASX10001,Automation Server Hardware Kit,6118.04
BVA2100-20C,Ball Valve DN100 20Nm,1312
BVA2125-50C,Ball Valve DN125 50Nm,1877
BVA215-3,Ball Valve DN15 3Nm 3-position,205
BVA215-3M,Ball Valve DN15 3Nm modulating,213
BVA2150-50C,Ball Valve DN150 50Nm,2217
BVA220-3,Ball Valve DN20 3Nm 3-position,219
BVA220-3M,Ball Valve DN20 3Nm modulating,228
BVA225-3,Ball Valve DN25 3Nm 3-position,241
BVA225-3M,Ball Valve DN25 3Nm modulating,251
BVA232-5,Ball Valve DN32 5Nm 3-position,272
BVA232-5M,Ball Valve DN32 5Nm modulating,283
BVA240-5,Ball Valve DN40 5Nm 3-position,305
BVA240-5M,Ball Valve DN40 5Nm modulating,317
BVA250-10,Ball Valve DN50 10Nm 3-position,410
BVA250-10M,Ball Valve DN50 10Nm modulating,427
BVA250-5,Ball Valve DN50 5Nm 3-position,348
BVA250-5M,Ball Valve DN50 5Nm modulating,362
BVA2065-20C,Ball Valve DN65 20Nm,911
BVA2080-20C,Ball Valve DN80 20Nm,1003
VAUS-6200-F30-L-18,BFV 10IN 2W 5430CV 2P NSR 24V,8356.7
VAFS-6200-F50-L-19,BFV 12IN 2W 8077CV 2P NSR 24V,12455.02
VSFS-6200-F52-L-19,BFV 12IN 2W 8077CV PR NSR 24V,14776.7
VAUS-6200-F20-L-17,BFV 8IN 2W 3316CV 2P NSR 24V,7477.16
VAFS-6200-F30-L-17,BFV 8IN 2W 3316CV 2P NSR 24V,8336.91
TC303-3A4L,BLUE LCD 4 PIPE DIGITAL FCU TSTAT,57.26
SXWSWCLIENTL999,BO Client-UNL for Linux,146703.16
SXWSWMQTTSRWL1,BO-MQTT Publish/Subscribe-ES for Linux,3757
SXWSWECDBMSL01,BO-MS SQL-EC for Linux,5136.66
SXWSWESDBMSL01,BO-MS SQL-ES for Linux,1596.34
SXWSWESOPCLL01,BO-OPC UA Client-ES for Linux,4494.43
SXWSWECPDFSSL1,BO-PDF Sign-EC for Linux,7073.67
SXWSWESPDFSSL1,BO-PDF Sign-ES for Linux,5115.25
SXWSWDASHL0001,BO-Personal Dashboards for Linux,3387.84
SXWSWECDBPIL01,BO-Pi System-EC for Linux,22564.27
SXWSWESDBPIL01,BO-Pi System-ES for Linux,20224.93
SXWSWECSAMLL01,BO-SAML Authentication-EC for Linux,1635.71
SXWSWESSAMLL01,BO-SAML Authentication-ES for Linux,1425.78
SXWSWSNMPL0001,BO-SNMP Alarming for Linux,1798.03
SXWSWASXSUSPK1,BO-Sustainability Pack-AS,866.81
SXWSWECSUSPKW1,BO-Sustainability Pack-EC,5786.89
SXWSWECSUSPKL1,BO-Sustainability Pack-EC for Linux,6432.1
SXWSWESSUSPKW1,BO-Sustainability Pack-ES,4611.38
SXWSWESSUSPKL1,BO-Sustainability Pack-ES for Linux,5467.06
SXWSWECDBTSL01,BO-Timescale DB-EC for Linux,6687.83
SXWSWESDBTSL01,BO-Timescale DB-ES for Linux,1064.23
SXWSWESSDZRL01,BO-Zoning-ES for Linux,13792.78
SXWSWEDIT00002,Building Operation - Graphics Editor,7474.2
SXWSWASXOPCL01,Building Operation - OPC UA Client - AS,481.5
SXWSWESOPCLW01,Building Operation - OPC UA Client - ES,3160.15
SXWSWASSDZR001,Building Operation - Zoning - AS,3097.13
SXWSWCLIENT0010,Building Operation Client - 10,21641.59
SXWSWCLIENTL010,Building Operation Client - 10 for Linux,30563.16
SXWSWCLIENT0025,Building Operation Client - 25,45829
SXWSWCLIENTL025,Building Operation Client - 25 for Linux,73351.58
SXWSWCLIENT0005,Building Operation Client - 5,11457.34
SXWSWCLIENTL005,Building Operation Client - 5 for Linux,12734.65
SXWSWCLIENTL001,Building Operation Client -1 for Linux,3638.48
SXWSWCLIENT0001,Building Operation Client-1,2544.09
SXWSWCLIENT0999,Building Operation Client-UNL,76321.09
SXWSWASUP00099,Building Operation Upgrade AS - UNL,8205.97
VF209W-100CN,"But.Valve DN100, dP 1200kPa",273.36
VF209W-125CN,"But.Valve DN125, dP 1200kPa",364.54
VF209W-150CN,"But.Valve DN150, dP 1200kPa",416.93
VF209W-200CN,"But.Valve DN200, dP 1200kPa",717.92
VF209W-250CN,"But.Valve DN250, dP 1200kPa",1083.6
VF299W-250CN,"But.Valve DN250, dP 350kPa",1083.6
VF209W-300CN,"But.Valve DN300, dP 1200kPa",1558.27
